English,Tovian,IPA,Roots
35 of summer,lhomtlan, / ɬˈomƛan / ,day + animal

35 of winter,selshith, / sˈelʃiθ / ,water + sharpness

36 of autumn,liusnal, / liˈusnal / ,moon + sharing

36 of spring,teshglar, / tˈeʃglar / ,sound + woods

36 of summer,mloanalor, / mloanˈalor / ,dawn + plant

36 of winter,kluloreshud, / klulorˈeʃud / ,vine + ice

36,femlhi, / fˈemɬi / ,three + twelve

37 of autumn,hol, / hˈol / ,sweet + ???

37 of spring,dremshol, / drˈemʃol / ,flower + fruit

37 of summer,lhenamral, / ɬenˈamral / ,dream + darkness

37 of winter,liusel, / liˈusel / ,moon + center

38 of autumn,lhenadrem, / ɬenˈadrem / ,dream + flower

38 of spring,mraladlel, / mralˈadlel / ,darkness + body

38 of summer,llhenalor, / lɬenˈalor / ,sun + dream + plant

38 of winter,fol, / fˈol / ,sun + sweet

39 of autumn,mralaglar, / mralˈaglar / ,darkness + tree

39 of spring,yeolaglar, / jeolˈaglar / ,truth + tree

39 of summer,shaninalhil, / ʃaninˈaɬil / ,berry + night

39 of winter,lhenashanin, / ɬenaʃˈanin / ,spirit + berry

4 of autumn,???, / ??? / ,???

4 of spring,dremrem, / drˈemrem / ,flower + flower

4 of summer,lel, / lˈel / ,sun + branch

4 of winter,???, / ??? / ,???

4,tev, / tˈev / ,_

40 of autumn,nanathan, / nanˈaθan / ,star + tool

40 of spring,rithilenum, / riθilˈenum / ,sky + path

40 of summer,selnan, / sˈelnan / ,water + protection

40 of winter,shaingtlurith, / ʃaiŋƛˈuriθ / ,ice + fog

41 of autumn,liusanin, / liusˈanin / ,moon + berry

41 of spring,lanatan, / lanˈatan / ,twilight + face

41 of summer,melsialeth, / melsiˈaleθ / ,life + food

41 of winter,nanaingtlun, / nanaˈiŋƛun / ,star + tar

42 of autumn,kelumral, / kelˈumral / ,branch + darkness

42 of spring,liusotel, / liusˈotel / ,moon + lake

42 of summer,nomen, / nˈomen / ,sea + stone

42 of winter,???, / ??? / ,???

43 of autumn,shithol, / ʃˈiθol / ,sharpness + sweet

43 of spring,mrilaglar, / mrilˈaglar / ,sight + tree

43 of summer,mloanafor, / mloanˈafor / ,morning + writing

43 of winter,nanador, / nanˈador / ,star + blue

44 of autumn,munorhanashol, / munorhanˈaʃol / ,dusk + fruit

44 of spring,rithilefethr, / riθilˈefeθr / ,sky + speech

44 of summer,thangekel, / θaŋˈekel / ,leaf + branch

44 of winter,shakel, / ʃˈakel / ,ice + branch

45 of autumn,???, / ??? / ,???

45 of spring,lirithitan, / liriθˈitan / ,storm + bird

45 of summer,lhenaliusan, / ɬenaliˈusan / ,dream + moon + animal

45 of winter,rishwen, / rˈiʃwen / ,kindness + beauty

46 of autumn,for, / fˈor / ,sun + action

46 of spring,nanatom, / nanˈatom / ,star + root

46 of summer,lhenalor, / ɬenˈalor / ,dream + plant

46 of winter,thatlun, / θˈaƛun / ,tool + joining

47 of autumn,lenan, / lˈenan / ,hoe + covering

47 of spring,shasel, / ʃˈasel / ,ice + water

47 of summer,shaninakel, / ʃaninˈakel / ,berry + branch

47 of winter,???, / ??? / ,???

48 of autumn,mloanashith, / mloanˈaʃiθ / ,morning + sharpness

48 of spring,shagang, / ʃˈagaŋ / ,ice + tooth

48 of summer,holashol, / holˈaʃol / ,sweet + fruit

48 of winter,kluloretush, / klulorˈetuʃ / ,vine + cold

48,tevi, / tˈevi / ,four + twelve

49 of autumn,varethan, / varˈeθan / ,value + tool

49 of spring,nanashol, / nanˈaʃol / ,star + fruit

49 of summer,dolaglar, / dolˈaglar / ,death + tree

49 of winter,liumen, / liˈumen / ,moon + earth

5 of autumn,nanamen, / nanˈamen / ,star + earth

5 of spring,lirithan, / lirˈiθan / ,wind + animal

5 of summer,mloanatlan, / mloanˈaƛan / ,morning + animal

5 of winter,lirithan, / lirˈiθan / ,breath + tool

5,rem, / rˈem / ,_

50 of autumn,harathan, / harˈaθan / ,pain + tool

50 of spring,nanamnan, / nanˈamnan / ,star + covering

50 of summer,selriethil, / selriˈeθil / ,water + home

51 of autumn,lethiledrem, / leθilˈedrem / ,forest + flower

51 of spring,shimisel, / ʃimˈisel / ,mystery + water

51 of summer,efot, / ˈefot / ,sun + circle

51 of winter,nanaglar, / nanˈaglar / ,star + tree

52 of autumn,lhenaliusol, / ɬenaliˈusol / ,dream + moon + fruit

52 of spring,mralshanin, / mralʃˈanin / ,darkness + berry

52 of summer,mralshol, / mrˈalʃol / ,dark + fruit

52 of winter,lanalor, / lanˈalor / ,twilight + plant

53 of autumn,thamlor, / θˈamlor / ,tool + plant

53 of spring,femlor, / fˈemlor / ,speaking + plant

53 of summer,liusayeol, / liusajˈeol / ,moon + wisdom

53 of winter,shalor, / ʃˈalor / ,ice + plant

54 of autumn,meloresialethavar, / meloresialeθˈavar / ,grain + value

54 of spring,num, / nˈum / ,sun + present

54 of summer,kelulor, / kelˈulor / ,branch + plant

54 of winter,kelusialeth, / kelusiˈaleθ / ,branch + food

55 of autumn,shotlesh, / ʃˈoƛeʃ / ,river + sound

55 of spring,rithiletlan, / riθilˈeƛan / ,sky + animal

55 of summer,sethan, / sˈeθan / ,water + tool

55 of winter,mralesh, / mrˈaleʃ / ,darkness + sound

56 of autumn,haraon, / harˈaon / ,pain + mouth

56 of spring,mralsialethashol, / mralsialeθˈaʃol / ,darkness + food + fruit

56 of summer,mramlor, / mrˈamlor / ,darkness + plant

56 of winter,nanad, / nˈanad / ,star + showing

57 of autumn,lethilekel, / leθilˈekel / ,forest + branch

57 of spring,drielathan, / drielˈaθan / ,person + tool

57 of summer,varedrem, / varˈedrem / ,value + flower

57 of winter,liusaglar, / liusˈaglar / ,moon + tree

58 of autumn,mlor, / mlˈor / ,sun + plant

58 of spring,liusol, / liˈusol / ,moon + fruit

58 of summer,liusm, / lˈiusm / ,moon + bloom

58 of winter,mer, / mˈer / ,earth + showing

59 of autumn,glareshol, / glarˈeʃol / ,tree + fruit

59 of spring,keluaglar, / keluˈaglar / ,branch + tree

59 of summer,rithiledriel, / riθiledrˈiel / ,sky + person

59 of winter,varefethr, / varˈefeθr / ,value + speaking

6 of autumn,mar, / mˈar / ,sun + mother

6 of spring,shimilor, / ʃimˈilor / ,mystery + plant

6 of summer,meloreathang, / meloreˈaθaŋ / ,plant + leaf

6 of winter,shotltom, / ʃˈoƛtom / ,flowing + root

6,tem, / tˈem / ,_

60 of autumn,leshor, / lˈeʃor / ,harvest + action

60 of spring,rithilekwil, / riθilˈekwil / ,sky + movement

60 of summer,lhenumlhen, / ɬenˈumɬen / ,center + path + dream

60 of winter,nanadriethil, / nanadriˈeθil / ,star + home

61 of autumn,nanasialeth, / nanasiˈaleθ / ,star + food

61 of spring,selaglar, / selˈaglar / ,water + tree

61 of summer,mloanadrem, / mloanˈadrem / ,morning + flower

61 of winter,tushulor, / tuʃˈulor / ,cold + plant

62 of autumn,lhoman, / ɬˈoman / ,day + light

62 of spring,meloresel, / melorˈesel / ,plant + water

62 of summer,teshaglar, / teʃˈaglar / ,sound + tree

62 of winter,sulramen, / sulrˈamen / ,bottom + darkness + stone

63 of autumn,haralor, / harˈalor / ,pain + plant

63 of spring,shotlen, / ʃˈoƛen / ,flowing + dream

63 of summer,munanilor, / munanˈilor / ,covering + plant

63 of winter,mralingtlun, / mralˈiŋƛun / ,darkness + tar

64 of autumn,lius, / lˈius / ,moon + ???

64 of spring,shashithan, / ʃaʃˈiθan / ,ice + sharpness + tool

64 of summer,kelushith, / kelˈuʃiθ / ,branch + sharpness

64 of winter,nanamen, / nanˈamen / ,star + stone

65 of autumn,teleay, / telˈeaj / ,lake + feather

65 of spring,doltlan, / dˈolƛan / ,death + animal

65 of summer,mral, / mrˈal / ,darkness + ???

65 of winter,liusanon, / liusˈanon / ,moon + dog

66 of autumn,holalor, / holˈalor / ,sweet + plant

66 of spring,rithor, / rˈiθor / ,air + plant

66 of summer,lhenathan, / ɬenˈaθan / ,dream + tool

66 of winter,lhenashotl, / ɬenˈaʃoƛ / ,dream + flow

67 of autumn,lhuloresialeth, / ɬuloresiˈaleθ / ,goodness + grain

67 of spring,munanialius, / munanialˈius / ,protection + moon

67 of summer,liusdrem, / liˈusdrem / ,moon + flower

67 of winter,menlor, / mˈenlor / ,earth + plant

68 of autumn,dolag, / dˈolag / ,death + hotness

68 of spring,munorhanalor, / munorhanˈalor / ,dusk + plant

68 of summer,menrunan, / menrˈunan / ,earth + hat

68 of winter,mersialeth, / mersiˈaleθ / ,earth + food

69 of autumn,rithtom, / rˈiθtom / ,air + root

69 of spring,teleaglar, / teleˈaglar / ,lake + tree

69 of summer,selrem, / sˈelrem / ,water + flower

69 of winter,shalhen, / ʃˈaɬen / ,ice + dream

7 of autumn,lius, / lˈius / ,moon + ???

7 of spring,mrilamen, / mrilˈamen / ,sight + stone

7 of summer,glarenan, / glarˈenan / ,tree + star

7 of winter,mloanathan, / mloanˈaθan / ,morning + tool

7,pol, / pˈol / ,_

70 of autumn,mrallhenathan, / mralɬenˈaθan / ,darkness + dream + tool

70 of spring,shotlol, / ʃˈoƛol / ,flowing + fruit

70 of summer,nanalor, / nanˈalor / ,star + action

70 of winter,tushuthan, / tuʃˈuθan / ,cold + tool

71 of autumn,shithanin, / ʃiθˈanin / ,sharpness + berry

71 of spring,mramlorean, / mramlorˈean / ,darkness + plant + light

71 of summer,lanathan, / lanˈaθan / ,twilight + tool

71 of winter,thanramen, / θanrˈamen / ,tool + darkness + stone

72 of autumn,lethileaglar, / leθileˈaglar / ,forest + tree

72 of spring,dleleon, / dlelˈeon / ,trunk + mouth

72 of summer,mloanatesh, / mloanˈateʃ / ,morning + sound

72 of winter,numvar, / nˈumvar / ,path + value

73 of autumn,kanaithr, / kanˈaiθr / ,change + thought

73 of spring,???, / ??? / ,???

73 of summer,efan, / ˈefan / ,sun + tool

73 of winter,mramen, / mrˈamen / ,darkness + stone

74 of autumn,sillhum, / sˈilɬum / ,existence + goodness

74 of spring,shotl, / ʃˈoƛ / ,flowing + ???

74 of summer,glaretesh, / glarˈeteʃ / ,tree + sound

74 of winter,menmen, / mˈenmen / ,earth + stone

75 of autumn,mloanarithan, / mloanarˈiθan / ,morning + bird

75 of spring,liusan, / liˈusan / ,moon + animal

75 of summer,holalor, / holˈalor / ,sweet + action

75 of winter,shashol, / ʃˈaʃol / ,ice + fruit

76 of autumn,fedemralrem, / fedemrˈalrem / ,showing + darkness + flower

76 of spring,rithilesialeth, / riθilesiˈaleθ / ,sky + food

76 of summer,melrem, / mˈelrem / ,life + flower

76 of winter,namen, / nˈamen / ,light + stone

77 of autumn,lhiladrem, / ɬilˈadrem / ,night + flower

77 of spring,kelueon, / keluˈeon / ,branch + mouth

77 of summer,keluthan, / kelˈuθan / ,branch + tool

77 of winter,lhenamen, / ɬenˈamen / ,dream + earth

78 of autumn,lhenakel, / ɬenˈakel / ,dream + branch

78 of spring,mralel, / mrˈalel / ,darkness + branch

78 of summer,varetlun, / varˈeƛun / ,value + joining

78 of winter,liusdeshol, / liusdˈeʃol / ,moon + showing + fruit

79 of autumn,nanathang, / nanˈaθaŋ / ,star + leaf

79 of spring,liusor, / liˈusor / ,moon + plant

79 of summer,mralaliusor, / mralaliˈusor / ,darkness + moon + plant

79 of winter,nanalhen, / nanˈaɬen / ,star + dream

8 of autumn,munorhanapal, / munorhanˈapal / ,dusk + stopping

8 of spring,todakesh, / todˈakeʃ / ,eternal + fire

8 of summer,nalhom, / nˈaɬom / ,light + container

8 of winter,dolrem, / dˈolrem / ,death + flower

8,ath, / ˈaθ / ,_

80 of autumn,nathan, / nˈaθan / ,light + tool

80 of spring,shotlrleth, / ʃˈoƛrleθ / ,flowing + hoe

80 of summer,thangethan, / θaŋˈeθan / ,leaf + tool

80 of winter,mrathan, / mrˈaθan / ,darkness + tool

81 of autumn,???, / ??? / ,???

81 of spring,sethok, / sˈeθok / ,water + down

81 of summer,lhenashotlodrem, / ɬenaʃoƛˈodrem / ,dream + flowing + flower

81 of winter,dremen, / drˈemen / ,flower + stone

82 of autumn,???, / ??? / ,???

82 of spring,shotlom, / ʃˈoƛom / ,flowing + bloom

82 of summer,munorhanatesh, / munorhanˈateʃ / ,dusk + sound

82 of winter,sialethanan, / sialeθˈanan / ,food + star

83 of autumn,holamel, / holˈamel / ,sweet + life

83 of spring,mloanalor, / mloanˈalor / ,morning + plant

83 of summer,drielan, / driˈelan / ,person + light

83 of winter,liumen, / liˈumen / ,moon + stone

84 of autumn,rithdrem, / rˈiθdrem / ,air + flower

84 of spring,selulor, / selˈulor / ,water + vine

84 of summer,lhenaglar, / ɬenˈaglar / ,dream + tree

84 of winter,mloanamen, / mloanˈamen / ,morning + metal

85 of autumn,lhenarith, / ɬenˈariθ / ,dream + air

85 of spring,nanatlan, / nanˈaƛan / ,star + animal

85 of summer,liuselom, / liusˈelom / ,moon + memory

85 of winter,nanatan, / nanˈatan / ,star + face

86 of autumn,nunasil, / nunˈasil / ,small + existence

86 of spring,dolor, / dˈolor / ,death + blue

86 of summer,keshaglar, / keʃˈaglar / ,fire + tree

86 of winter,lanamen, / lanˈamen / ,twilight + metal

87 of autumn,liusen, / liˈusen / ,moon + dream

87 of spring,liuskel, / liˈuskel / ,moon + branch

87 of summer,rithenalor, / riθenˈalor / ,air + dream + plant

87 of winter,mramen, / mrˈamen / ,darkness + metal

88 of autumn,engothr, / ˈeŋoθr / ,sun + time

88 of spring,mloanakel, / mloanˈakel / ,dawn + branch

88 of summer,mralor, / mrˈalor / ,darkness + blue

88 of winter,lan, / lˈan / ,twilight + ???

89 of autumn,haradrem, / harˈadrem / ,pain + flower

89 of spring,shotleon, / ʃoƛˈeon / ,flowing + mouth

89 of summer,efol, / ˈefol / ,sun + death

89 of winter,tleshmen, / ƛˈeʃmen / ,speed + metal

9 of autumn,lhenashith, / ɬenˈaʃiθ / ,dream + sharpness

9 of spring,shatom, / ʃˈatom / ,ice + root

9 of summer,temen, / tˈemen / ,sound + stone

9 of winter,lirithaglar, / liriθˈaglar / ,breath + tree

9,ki, / kˈi / ,_

90 of autumn,meloresialethalor, / meloresialeθˈalor / ,grain + plant

90 of spring,shakwil, / ʃˈakwil / ,ice + movement

90 of summer,falnan, / fˈalnan / ,leader + star

90 of winter,shathan, / ʃˈaθan / ,ice + tool

